# id	animation	w	h	x	y	durations
1	idle	32	40	1	4	40,6,6
1	walk	40	40	-3	4	4,4,4,4,4,4
1	sleep	24	24	5	11	30,35
1	faint	32	24	5	12	8,12,4,10
2	idle	32	32	1	7	40,12,12,12
2	walk	32	32	1	7	8,10,8,10
2	sleep	24	32	5	7	30,35
3	idle	32	32	0	7	30,16,12,16
3	walk	32	32	0	7	8,16,8,16
3	sleep	32	32	0	6	30,35
4	idle	32	40	1	6	12,8,8,8
4	walk	32	32	1	8	6,8,6,8
4	sleep	32	24	0	12	30,35
4	faint	32	32	1	6	8,12,4,10
5	idle	32	56	1	-1	40,2,3,3,3,2
5	walk	24	32	5	9	8,10,8,10
5	sleep	24	32	5	9	30,35
5	faint	40	32	0	5	8,12,4,10
6	idle	40	48	-3	2	15,15,15,15
6	walk	40	48	-3	3	8,10,8,10
6	sleep	32	48	-1	3	30,35
6	faint	48	48	-3	2	8,12,4,10
7	idle	32	32	1	9	30,2,2,4,4,4,2,2
7	walk	32	32	1	9	12,8,12,8
7	sleep	24	24	5	12	30,35
7	faint	40	32	0	6	8,12,4,10
8	idle	24	40	4	5	40,2,2,2
8	walk	32	40	0	3	8,10,8,10
8	sleep	32	32	0	8	30,35
9	idle	40	40	-3	7	32,12,4,4,4,4,4,8
9	walk	32	40	1	6	8,14,8,14
9	sleep	32	40	1	5	30,35
10	idle	32	32	1	8	8,8,8,8,8,8,8,4,10,4
10	walk	32	32	1	7	10,10,10
10	sleep	24	24	4	10	30,35
11	idle	32	40	1	2	10,14,10,14
11	walk	32	48	1	1	4,2,2,2,2,4,4,4,4,4
11	sleep	24	24	5	10	30,35
12	idle	32	56	0	4	8,8,8,8
12	walk	32	56	0	3	8,8,8,8,8,8,8,8,8,8,8,8
12	sleep	32	32	1	8	35,30
13	idle	32	40	1	5	40,8,8,8
13	walk	32	40	1	5	8,10,8
13	sleep	24	32	6	10	30,35
14	idle	24	40	5	7	40,1,1,4,1,1
14	walk	24	40	5	7	8,4,4,4,10
14	sleep	24	40	5	7	30,35
15	idle	32	48	1	4	4,4,4,4
15	walk	32	48	1	4	4,4,4,4
15	sleep	24	56	3	4	16,8,16,16,8,16
16	idle	24	40	5	3	30,4,4,4,4
16	walk	32	32	1	6	6,4,4,4,4
16	sleep	24	16	5	14	35,30
17	idle	32	48	1	2	40,2,4,2
17	walk	32	40	1	4	6,10,6,10
17	sleep	24	32	4	10	30,35
18	idle	32	48	1	2	40,2,4,2
18	walk	32	40	1	5	8,12,8,12
18	sleep	24	32	4	11	30,35
19	idle	32	32	1	8	40,2,2,2,4,2,2,2
19	walk	48	40	-7	2	6,4,4,4,4,4,4
19	sleep	32	24	0	11	30,35
20	idle	32	48	1	0	30,6,3,4,3,6
20	walk	40	48	-3	2	4,6,4,4,4,4
20	sleep	24	24	4	11	35,30
21	idle	24	40	5	4	40,2,3,4,3,2
21	walk	32	40	1	4	6,4,4,4,4
21	sleep	24	24	5	11	30,35
22	idle	40	72	-3	-8	40,20,4,4,4,4,4,4,4,4
22	walk	40	64	-3	-1	4,5,6,4,5,6
