# GENERATED from enableOrDisableSubControls() single-condition
# blocks. Coverage is PARTIAL on purpose - compound conditions
# are skipped rather than guessed.
# disabledField	whenField	equalsValue
allowStarterAltFormes	startersMod	UNCHANGED
allowStaticAltFormes	staticPokemonMod	UNCHANGED
allowWildAltFormes	wildPokemonMod	UNCHANGED
assignEvoStatsRandomly	baseStatisticsMod	RANDOM
balanceShakingGrass	wildPokemonMod	AREA_MAPPING
balanceShakingGrass	wildPokemonMod	GLOBAL_MAPPING
baseStatsFollowEvolutions	baseStatisticsMod	UNCHANGED
baseStatsFollowMegaEvolutions	baseStatisticsMod	UNCHANGED
blockBrokenTMMoves	movesetsMod	METRONOME_ONLY
blockBrokenTutorMoves	movesetsMod	METRONOME_ONLY
blockWildLegendaries	wildPokemonMod	UNCHANGED
changeImpossibleEvolutions	evolutionsMod	RANDOM_EVERY_LEVEL
correctStaticMusic	staticPokemonMod	UNCHANGED
dualTypeOnly	typesMod	UNCHANGED
evosMaxThreeStages	evolutionsMod	RANDOM_EVERY_LEVEL
evosSimilarStrength	evolutionsMod	RANDOM_EVERY_LEVEL
keepFieldMoveTMs	movesetsMod	METRONOME_ONLY
keepFieldMoveTutors	movesetsMod	METRONOME_ONLY
limit600	staticPokemonMod	UNCHANGED
makeEvolutionsEasier	evolutionsMod	RANDOM_EVERY_LEVEL
moveTutorMovesMod	movesetsMod	METRONOME_ONLY
randomizeInGameTradesIVs	inGameTradesMod	UNCHANGED
randomizeInGameTradesItems	inGameTradesMod	UNCHANGED
randomizeInGameTradesNicknames	inGameTradesMod	UNCHANGED
randomizeInGameTradesOTs	inGameTradesMod	UNCHANGED
removeTimeBasedEvolutions	evolutionsMod	RANDOM_EVERY_LEVEL
startersMod	evolutionsMod	RANDOM_EVERY_LEVEL
swapStaticMegaEvos	staticPokemonMod	UNCHANGED
tmLevelUpMoveSanity	movesetsMod	METRONOME_ONLY
tmsFollowEvolutions	movesetsMod	METRONOME_ONLY
tmsForceGoodDamaging	movesetsMod	METRONOME_ONLY
tmsMod	movesetsMod	METRONOME_ONLY
trainersForceFullyEvolved	evolutionsMod	RANDOM_EVERY_LEVEL
trainersForceFullyEvolvedLevel	evolutionsMod	RANDOM_EVERY_LEVEL
tutorFollowEvolutions	movesetsMod	METRONOME_ONLY
tutorLevelUpMoveSanity	movesetsMod	METRONOME_ONLY
tutorsForceGoodDamaging	movesetsMod	METRONOME_ONLY
typesFollowMegaEvolutions	typesMod	UNCHANGED
typesMod	evolutionsMod	RANDOM_EVERY_LEVEL
useTimeBasedEncounters	wildPokemonMod	UNCHANGED
wildPokemonRestrictionMod	wildPokemonMod	GLOBAL_MAPPING
