# GENERATED - the randomizer's OWN tooltip text.
# settingsField	description
raceMode	Select this to enable certain things which are useful for a speedrun race of the ROM you create. The ability to save a log file will be disabled, and a check value will be generated. You can send this value around with the preset file to ensure that everyone has the same ROM to race with.
limitPokemon	Select this to allow yourself to limit the Pokemon used by the randomization. If this box isn't checked all Pokemon will be allowed.
banIrregularAltFormes	Bans "irregular" alternate formes from the Pokemon pool when "Allow Alternate Formes" is selected for Wild Pokemon, Trainer Pokemon, Evolutions, etc. Irregular formes are those that normally cannot exist outside of battle (such as Mega Evolutions and other in-battle transformations like Darmanitan-Z, Zygarde-C, etc), as well as the "Fusion" Pokemon (Kyurem-B/W and Necrozma-DM/DW). These alternate formes still exist and will get randomized base stats, abilities and so on (according to your settings), but they can only be accessed through their regular means (such as by Mega Evolving or transforming because of an Ability).
baseStatisticsMod	Don't change Pokemon stats from the base at all.
expCurveMod	All legendaries get the "Slow" EXP Curve.
standardizeEXPCurves	When this is selected, every Pokemon's EXP curve will be changed to the selected EXP curve below, except for the Pokemon forced to use the "Slow" EXP curve, chosen with the settings to the right. This will cause Pokemon to be better or worse based more on their stats/moves/type rather than the difficulty of leveling them; it will also allow for more potential evolutions if you randomize evolutions, since a Pokemon only can evolve into a Pokemon with the same EXP curve. If you're not sure which EXP Curve to pick, Medium Fast and Medium Slow are generally good curves (most Pokemon use these in the regular games).
baseStatsFollowEvolutions	When this is selected and base stats are shuffled or randomized, evolutions of a Pokemon will inherit from their base form's rolls. Shuffle: The same new ordering of stats will be used. Randomized: The evolution will have the same proportion of stats as the base form.
updateBaseStats	Select this to update the base stats of Pokemon in the loaded game to their values in the generation chosen to the right. This does NOT: * Add any new Pokemon to the game * Split Special Attack and Special Defense in Gen 1.
baseStatsFollowMegaEvolutions	When this is selected and base stats are shuffled or randomized, Mega Evolutions will inherit from their base form's rolls. Shuffle: The same new ordering of stats will be used. Randomized: The Mega Evolution will have the same proportion of stats as the base form. Not recommended for use in Gen 7 unless you know what you're doing; see the Important Information page on the wiki for more info.
typesMod	Don't change Pokemon types at all.
typesFollowMegaEvolutions	When this is selected and types are randomized, non-split Mega Evolutions of a Pokemon will inherit that Pokemon's random types (perhaps adding another type). Not recommended for use in Gen 7 unless you know what you're doing; see the Important Information page on the wiki for more info.
abilitiesMod	Don't change Pokemon abilities from the base at all.
allowWonderGuard	If this is checked, Wonder Guard will be able to be chosen as any Pokemon's ability. This can lead to some very overpowered/broken Pokemon. USE WITH CAUTION!
abilitiesFollowEvolutions	When this is selected and abilities are randomized, non-split evolutions of a Pokemon will inherit that Pokemon's random abilities.
banTrappingAbilities	When abilities are randomized, ban abilities that can prevent the opponent from fleeing/switching out from being selected. nThis bans Arena Trap, Magnet Pull and Shadow Tag. nHas no effect if abilities are not randomized. nPokemon that have a trapping ability to begin with will still have their abilities randomized, unlike how Wonder Guard is treated.
banNegativeAbilities	When abilities are randomized, ban abilities that are purely negative in nature from being chosen. nThis bans Defeatist, Slow Start, Truant, Klutz, Stall. nHas no effect if abilities are not randomized. nPokemon that have a negative ability to begin with will still have their abilities randomized, unlike how Wonder Guard is treated.
banBadAbilities	When abilities are randomized, ban bad abilities. nThis bans Minus, Plus, Anticipation, Forewarn, Frisk, Honey Gather, Aura Break, Receiver, Power of Alchemy. If "Double Battle Mode" for Trainers is not selected, it also bans Friend Guard, Healer, Telepathy, Symbiosis, Battery. nHas no effect if abilities are not randomized.
weighDuplicateAbilitiesTogether	This setting causes abilities that have the exact same effect to be considered as the same ability for randomization probability purposes. Every variation of the respective abilities can still appear. This applies to: Gen 3+: Insomnia/Vital Spirit, Clear Body/White Smoke, Huge Power/Pure Power, Battle Armor/Shell Armor, Cloud Nine/Air Lock Gen 4+: Filter/Solid Rock Gen 5+: Rough Skin/Iron Barbs, Mold Breaker/Turboblaze/Teravolt Gen 7+: Wimp Out/Emergency Exit, Queenly Majesty/Dazzling, Gooey/Tangling Hair, Receiver/Power of Alchemy, Clear Body/White Smoke/Full Metal Body, Multiscale/Shadow Shield, Filter/Solid Rock/Prism Armor
abilitiesFollowMegaEvolutions	When this is selected and abilities are randomized, non-split Mega Evolutions of a Pokemon will inherit that Pokemon's random abilities. Not recommended for use in Gen 7 unless you know what you're doing; see the Important Information page on the wiki for more info.
evolutionsMod	Don't randomize Pokemon evolutions.
evosSimilarStrength	When this is checked, random evolutions will prefer Pokemon with a similar BST to the original evolution target. Has less precedence than all other modifiers below, so it may not always be strictly enforced.
evosSameTyping	When selected, randomized evolutions will share at least one type between the source and target if possible.
evosMaxThreeStages	When selected, there will not be any evolution chains created that are longer than three stages.
evosForceChange	When selected, every evolution of a Pokemon will be randomized to something different than what it was originally.
changeImpossibleEvolutions	If this is checked, every evolution that isn't possible to do without trading in the current game will be changed. Takes effect regardless of whether evolutions are randomized or not. Some of the types that will be changed are:"Normal" trade evolutionsTrade evolutions with another condition, such as held item or Pokemon traded forDay/night evolutions if there isn't day/night in the gameContest-stat evolutions if there aren't contests in the gameLocation-based evolutions, if those locations don't exist in the gameMove-based evolutions, only if you randomize movesets
makeEvolutionsEasier	If this is checked, Pokemon that evolve at a very high level will evolve at lower levels to make them more viable for shorter playthroughs. Specifically, every Pokemon will evolve to its final stage by level 40, and three-stage evolutions will reach their middle stage by no later than level 30. Additionally, Pokemon that normally evolve by having another specific Pokemon in the party will instead evolve at level 35. Lastly, Pokemon that evolve via friendship will evolve at 160 happiness (down from 220), similar to how it works in the Switch Pokemon games. Takes effect regardless of whether evolutions are randomized or not.
evosAllowAltFormes	Allow Pokemon to evolve into alternate formes of Pokemon, including into regional variants.
startersMod	Don't change the starter Pokemon.
randomizeStartersHeldItems	Checking this will randomize the items held by the starters where possible. In Generation 2 games, each starter will get an individual random item. In Generation 3 games, all the starters will get the same random item.
banBadRandomStarterHeldItems	Checking this will remove "bad" items that don't do much from the set of possible random items for starter Pokemon, such as berries and mail.
allowStarterAltFormes	Allow alternate formes of Pokemon, such as the various formes of Rotom or Deoxys, to appear as Starter Pokemon. Note that their traits are randomized/shuffled separately from their base formes.
staticPokemonMod	Static Pokemon remain the same.
swapStaticMegaEvos	Swap Statics capable of Mega Evolution with another Pokemon capable of Mega Evolution. This affects Lucario in X/Y and Latios/Latias in OR/AS.
limit600	Selecting this will enforce pure random on all static Pokemon with 600+ BST.
allowStaticAltFormes	Allow alternate formes of Pokemon, such as the various formes of Rotom or Deoxys, to appear as Static Pokemon. Note that their traits are randomized/shuffled separately from their base formes.
limitMainGameLegendaries	Selecting this will set an upper BST limit on what main-game Legendary Pokemon can be randomized into, and also expand the window for what counts as "Similar Strength" for those Pokemon. This only applies to main-game Legendary Pokemon that are catchable and that are directly in your way during the main game, so some Pokemon like Kyurem-B/Kyurem-W in BW2 (not catchable) and Rayquaza in Emerald (have to go out of your way to catch) are not included.
inGameTradesMod	In-game trades remain the same.
randomizeInGameTradesNicknames	Check this to randomize the nicknames of the Pokemon you receive. The nicknames will be chosen from a predefined list. If there are no more usable nicknames the original nicknames will be kept for the rest of the trades.
randomizeInGameTradesOTs	Check this to randomize the Original Trainer (ID & name) of the Pokemon you receive from trades. The names will be chosen from the same list as trainer names, with names that are too long to be OT names excluded.
randomizeInGameTradesIVs	Check this to randomize the IVs of the Pokemon you receive from ingame trades. In most games these Pokemon have set IVs, so clicking this randomizes those set IVs.
randomizeInGameTradesItems	Check this to give each Pokemon you receive from an ingame trade a random held item. This includes trades that do not normally have a held item on the Pokemon.
