# GENERATED by tools/extract_upr.py - do not hand-edit.
# settingsField	the UPR control that fixes its position
raceMode	raceModeCheckBox
limitPokemon	limitPokemonCheckBox
banIrregularAltFormes	noIrregularAltFormesCheckBox
baseStatisticsMod	pbsUnchangedRadioButton
expCurveMod	pbsLegendariesSlowRadioButton
standardizeEXPCurves	pbsStandardizeEXPCurvesCheckBox
baseStatsFollowEvolutions	pbsFollowEvolutionsCheckBox
updateBaseStats	pbsUpdateBaseStatsCheckBox
baseStatsFollowMegaEvolutions	pbsFollowMegaEvosCheckBox
updateBaseStatsToGeneration	pbsUpdateComboBox
selectedEXPCurve	pbsEXPCurveComboBox
assignEvoStatsRandomly	pbsAssignEvoStatsRandomlyCheckBox
typesMod	ptUnchangedRadioButton
typesFollowMegaEvolutions	ptFollowMegaEvosCheckBox
dualTypeOnly	ptIsDualTypeCheckBox
abilitiesMod	paUnchangedRadioButton
allowWonderGuard	paAllowWonderGuardCheckBox
abilitiesFollowEvolutions	paFollowEvolutionsCheckBox
banTrappingAbilities	paTrappingAbilitiesCheckBox
banNegativeAbilities	paNegativeAbilitiesCheckBox
banBadAbilities	paBadAbilitiesCheckBox
weighDuplicateAbilitiesTogether	paWeighDuplicatesTogetherCheckBox
abilitiesFollowMegaEvolutions	paFollowMegaEvosCheckBox
evolutionsMod	peUnchangedRadioButton
evosSimilarStrength	peSimilarStrengthCheckBox
evosSameTyping	peSameTypingCheckBox
evosMaxThreeStages	peLimitEvolutionsToThreeCheckBox
evosForceChange	peForceChangeCheckBox
changeImpossibleEvolutions	peChangeImpossibleEvosCheckBox
makeEvolutionsEasier	peMakeEvolutionsEasierCheckBox
evosAllowAltFormes	peAllowAltFormesCheckBox
removeTimeBasedEvolutions	peRemoveTimeBasedEvolutionsCheckBox
startersMod	spUnchangedRadioButton
randomizeStartersHeldItems	spRandomizeStarterHeldItemsCheckBox
banBadRandomStarterHeldItems	spBanBadItemsCheckBox
allowStarterAltFormes	spAllowAltFormesCheckBox
staticPokemonMod	stpUnchangedRadioButton
swapStaticMegaEvos	stpSwapMegaEvosCheckBox
staticLevelModified	stpPercentageLevelModifierCheckBox
staticLevelModifier	stpPercentageLevelModifierSlider
limit600	stpRandomize600BSTCheckBox
allowStaticAltFormes	stpAllowAltFormesCheckBox
limitMainGameLegendaries	stpLimitMainGameLegendariesCheckBox
correctStaticMusic	stpFixMusicCheckBox
inGameTradesMod	igtUnchangedRadioButton
randomizeInGameTradesNicknames	igtRandomizeNicknamesCheckBox
