# GENERATED by tools/extract_upr_support.py - do not hand-edit.
# Settings the desktop hides for an ENTIRE generation, taken only
# from capabilities with a literal return. Unlisted = shown.
# settingsField	generation	capability
abilitiesFollowMegaEvolutions	GEN3	hasMegaEvolutions
abilitiesFollowMegaEvolutions	GEN4	hasMegaEvolutions
abilitiesFollowMegaEvolutions	GEN5	hasMegaEvolutions
allowStarterAltFormes	GEN3	hasStarterAltFormes
allowStarterAltFormes	GEN4	hasStarterAltFormes
allowStarterAltFormes	GEN5	hasStarterAltFormes
allowStaticAltFormes	GEN3	hasStaticAltFormes
allowStaticAltFormes	GEN4	hasStaticAltFormes
allowStaticAltFormes	GEN5	hasStaticAltFormes
allowTrainerAlternateFormes	GEN3	hasFunctionalFormes
allowWildAltFormes	GEN3	hasWildAltFormes
allowWildAltFormes	GEN4	hasWildAltFormes
baseStatsFollowMegaEvolutions	GEN3	hasMegaEvolutions
baseStatsFollowMegaEvolutions	GEN4	hasMegaEvolutions
baseStatsFollowMegaEvolutions	GEN5	hasMegaEvolutions
swapTrainerMegaEvos	GEN3	hasMegaEvolutions
swapTrainerMegaEvos	GEN4	hasMegaEvolutions
swapTrainerMegaEvos	GEN5	hasMegaEvolutions
typesFollowMegaEvolutions	GEN3	hasMegaEvolutions
typesFollowMegaEvolutions	GEN4	hasMegaEvolutions
typesFollowMegaEvolutions	GEN5	hasMegaEvolutions
