1	Stench	While at the head of the party, decreases the wild encounter rate by 50%.	In the Battle Pyramid, the wild encounter rate is only decreased by 25%.
2	Drizzle	Changes weather to rain when switched in. In rain, Water moves have 50% increased power and Fire moves have 50% decreased power. Thunder will always hit, Solarbeam deals 50% reduced damage, and Moonlight, Synthesis, and Morning Sun heal for 1/4 max HP	
3	Speed Boost	At the end of each turn, raises Speed stat by one stage.	
4	Battle Armor	Prevents this Pokémon from receiving critical hits.	
5	Sturdy	Cannot be hit by one-hit KO moves (Fissure, Horn Drill, Guillotine, Sheer Cold).	
6	Damp	Prevents allied and opposing Pokémon from using self-destructing moves (Self-Destruct, Explosion).	
7	Limber	Cannot be paralyzed. Gaining this Ability, like through Skill Swap, will cure Paralysis.	
8	Sand Veil	Increases Evasion by 20% in a sandstorm, and this Pokémon takes no end of turn damage in a sandstorm.	While at the head of the party, decreases the wild encounter rate by 50% in a sandstorm.
9	Static	When hit by a contact move, 1/3 chance to paralyze the attacker.	While at the head of the party, wild encounters have a 50% chance of being against an Electric Pokémon, if possible.
10	Volt Absorb	Restores 25% max HP instead of taking damage if hit by a damaging Electric move.	
11	Water Absorb	Restores 25% max HP instead of taking damage if hit by a damaging Water move.	
12	Oblivious	Cannot be infatuated. Gaining this Ability, like through Skill Swap, will cure infatuation.	
13	Cloud Nine	Negates all effects of weather, but does not end the weather.	
14	Compoundeyes	Increases the Accuracy of moves by 30% (i.e. Thunder has an Accuracy of 70%. With this ability, it would instead have 70% x 1.3 = 91% Accuracy).	Increases the chance of finding a wild Pokémon holding an item.
15	Insomnia	Cannot be put to sleep. If this Pokémon uses Rest, it will fail. Gaining this Ability, like through Skill Swap, will cure Sleep.	
16	Color Change	When hit by a damaging move, changes this Pokémon's type to match the move's type.	
17	Immunity	Cannot be inflicted with Poison. Gaining this Ability, like through Skill Swap, will cure Poison.	
18	Flash Fire	Immune to Fire moves. The first time this Pokémon is hit by a Fire move, its own Fire moves gain 50% power.	
19	Shield Dust	Unaffected by the additional effects of other Pokémon's damaging moves. For example, a Pokémon with this ability cannot be frozen by Blizzard or made to flinch by Fake Out.	
20	Own Tempo	Cannot be confused. Gaining this Ability, like through Skill Swap, will cure confusion.	
21	Suction Cups	Prevents this Pokémon from being forced to switch out.	Increases the chance of getting bites while fishing.
22	Intimidate	Lowers all opposing Pokémons' Attack stats by one stage when this Pokémon enters battle.	While at the head of the party, 50% chance to prevent a wild encounter that would have been with a Pokémon 5 or more levels lower than this Pokémon.
23	Shadow Tag	Prevents opposing Pokémon from switching out or fleeing.	
24	Rough Skin	When hit by a contact move, the attacker takes 1/16 of their max HP as damage.	
25	Wonder Guard	Immune to all damaging moves that are not super effective, except for Struggle, Beat Up, Future Sight, and Doom Desire. Cannot be copied by Role Play or swapped by Skill Swap.	
26	Levitate	Immune to Ground moves. This immunity is lost if this Pokémon uses Ingrain.	
27	Effect Spore	When hit by a contact move, 10% chance for the attacker to become afflicted with Poison, Paralysis, or Sleep; with an equal chance of each. It's possible the random status won't affect the attacker, in the case that it is immune to that status.	
