0348	5	ATTACKER	15,72	
034C	14	ATTACKER	64	
0350	5	REVERSE_ATTACKER	15,72	
0354	2C	BATTLE_TARGET	43	self
0358	8	BATTLER	43	
035C	8	ATTACKER	15,72	
0360	12	BATTLE_TARGET	64	other
0364	7	STATUS_INFLICT	27	
0368	7	STATUS_INFLICT	27,28,38	
036C	7	STATUS_INFLICT	28,49	
0370	7	STATUS_INFLICT	9,27,28	
0374	9	BATTLER	2	
0378	C	BATTLER	3	
037C	9	BATTLER	36	
0380	5	REVERSE_ATTACKER	44	
0384	9	BATTLER	45	
0388	8	BATTLER	61	
038C	45	BATTLER	22	
0390	0	BATTLER	22	
0390	0	REVERSE_BATTLER	29,52,73	
0394	9	BATTLER	70	
0398	9	ATTACKER	31	
039C	8	ATTACKER	5	
03A0	8	BATTLE_TARGET	6	both
03A4	16	ATTACKER	10,11	
03A8	9	ATTACKER	10,11	
03AC	B	ATTACKER	18	
03B0	8	ATTACKER	21	
03B4	8	BATTLER	29,73	
03B8	5	ATTACKER	28,41	
03BC	5	ATTACKER	7,28	
03C0	5	ATTACKER	17,28	
03C4	8	ATTACKER	12	
03C8	8	ATTACKER	39	
03CC	8	ATTACKER	20	
03D0	A	BATTLE_TARGET	43	self
03D4	8	BATTLER	51,52	
03D8	8	ATTACKER	60	
03DC	8	ATTACKER	16	
03E0	15	ATTACKER	24	
03E4	E	ATTACKER	56	
03E8	5	REVERSE_ATTACKER	54	
