1	Pound	Deals damage and has no secondary effect.	
2	Karate Chop	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%)	
3	DoubleSlap	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit or trigger a contact ability.	
4	Comet Punch	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit or trigger a contact ability.	
5	Mega Punch	Deals damage and has no secondary effect.	
6	Pay Day	Scatters coins equal to five times the user's level each time.	
7	Fire Punch	Deals damage and has a 10% chance of burning the opponent.	
8	Ice Punch	Deals damage and has a 10% chance of freezing the opponent.	
9	ThunderPunch	Deals damage and has a 10% chance of paralyzing the opponent.	
10	Scratch	Deals damage and has no secondary effect.	
11	ViceGrip	Deals damage and has no secondary effect.	
12	Guillotine	A one-hit KO move. This move is 1% more accurate for each level above the target. Fails if target is higher level.	
13	Razor Wind	Attacks on the 2nd turn after use. Despite the game description, it does NOT have a high-crit chance.	
14	Swords Dance	Increases the user's Attack stat by two stages.	
15	Cut	Deals damage and has no secondary effect.	
16	Gust	Deals double damage if opponent is using Fly or Bounce.	
17	Wing Attack	Deals damage and has no secondary effect.	
18	Whirlwind	Forces target to switch out with another random Pokemon. Fails against Suction Cups or Ingrain.	
19	Fly	Attacks on 2nd turn. Can still be hit by Gust, Sky Uppercut, Thunder, Twister, and Whirlwind.	
20	Bind	Deals damage and inflicts 1/16 of the target's max HP as damage for 2-5 turns. Prevents the target from switching out or fleeing.	
21	Slam	Deals damage and has no secondary effect.	
22	Vine Whip	Deals damage and has no secondary effect.	
23	Stomp	Deals damage with 30% chance of causing the target to flinch. Damage is doubled against a target that used Minimize.	
24	Double Kick	Deals damage twice, each hit able to be critical.	
25	Mega Kick	Deals damage and has no secondary effect.	
26	Jump Kick	If the move misses, the user is hurt for 1/2 of the damage it would have dealt.	
27	Rolling Kick	Deals damage and has a 30% chance of causing the target to flinch.	
28	Sand-Attack	Lowers the target's accuracy stat by one stage. (100% -> 75% -> 60% -> 50% ...)	
29	Headbutt	Deals damage and has a 30% chance of causing the target to flinch.	
30	Horn Attack	Deals damage and has no secondary effect.	
31	Fury Attack	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit or trigger a contact ability.	
32	Horn Drill	A one-hit KO move. This move is 1% more accurate for each level above the target. Fails if target is higher level.	
33	Tackle	Deals damage and has no secondary effect.	
34	Body Slam	Deals damage and has a 30% chance of paralyzing the target.	
35	Wrap	Deals damage and inflicts 1/16 of the target's max HP as damage for 2-5 turns. Prevents the target from switching out or fleeing.	
36	Take Down	The user receives recoil damage equal to 1/4 of the damage dealt.	
37	Thrash	Deals damage for 2-3 consecutive turns. User becomes confused afterwards.	
38	Double-Edge	The user receives recoil damage equal to 1/3 of the damage dealt.	
39	Tail Whip	Decreases the Defense stat of all adjacent opponents by one stage.	
40	Poison Sting	Deals damage and has a 30% chance of poisoning the target.	
41	Twineedle	Deals damage twice, each hit able to be critical. Final hit has a 20% chance of poisoning the target.	
42	Pin Missile	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit.	
43	Leer	Decreases the Defense stat of all adjacent opponents by one stage.	
44	Bite	Deals damage and has a 30% chance of causing the target to flinch.	
45	Growl	Decreases the Attack stat of all adjacent opponents by one stage.	
46	Roar	Forces target to switch out with another random Pokemon. Fails against Soundproof, Suction Cups or Ingrain.	
47	Sing	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia, Vital Spirit or Soundproof.	
48	Supersonic	Causes the target to become confused. Fails against Soundproof or Own Tempo.	
49	SonicBoom	Always inflicts exactly 20 HP damage if it hits.	
50	Disable	Disables the last move used by the target for 2-5 turns.	
51	Acid	Deals damage and has a 10% chance of lowering the target's Defense stat by one stage.	
52	Ember	Deals damage and has a 10% chance of burning the target.	
53	Flamethrower	Deals damage and has a 10% chance of burning the target.	
54	Mist	For five turns, enemy Pokémon cannot lower stats of Pokémon on your team.	
55	Water Gun	Deals damage and has no secondary effect.	
56	Hydro Pump	Deals damage and has no secondary effect.	
57	Surf	Deals double damage if opponent is using Dive.	
58	Ice Beam	Deals damage and has a 10% chance of freezing the target.	
59	Blizzard	Deals damage and has a 10% chance of freezing the target.	
60	Psybeam	Deals damage and has a 10% chance of confusing the target.	
61	BubbleBeam	Deals damage and has a 10% chance of lowering the target's Speed stat by one stage.	
62	Aurora Beam	Deals damage and has a 10% chance of lowering the target's Attack stat by one stage.	
63	Hyper Beam	Deals damage and then forces the user to recharge during the next turn.	
64	Peck	Deals damage and has no secondary effect.	
65	Drill Peck	Deals damage and has no secondary effect.	
66	Submission	Deals damage, and the user receives recoil damage equal to 25% of the damage done.	
67	Low Kick	Deals between 20-120 damage dependent on the weight of the target.	
68	Counter	If hit by a Physical category move, deals twice the damage received back to the user.	
69	Seismic Toss	Deals exact damage equal to the user's level.	
70	Strength	Deals damage and has no secondary effect.	
71	Absorb	50% of the damage dealt is restored to the user as HP.	
72	Mega Drain	50% of the damage dealt is restored to the user as HP.	
73	Leech Seed	Drains 1/8 of the target's HP at the end of each turn.	
74	Growth	Increases the user's Special Attack stat by one stage.	
75	Razor Leaf	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%)	
76	SolarBeam	Attacks on the 2nd turn after use, or immediately in sunny weather. Half damage in rain or sandstorm.	
77	PoisonPowder	Poisons the target, losing 1/8 of the their max HP at the end of each turn.	
78	Stun Spore	Paralyzes the target, reducing their Speed by 75%, and a 25% chance they will fail to act.	
79	Sleep Powder	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia or Vital Spirit.	
80	Petal Dance	Deals damage for 2-3 consecutive turns. User becomes confused afterwards.	
81	String Shot	Decreases the targets' Speed stat by one stage.	
82	Dragon Rage	Always inflicts exactly 40 HP damage if it hits.	
83	Fire Spin	Deals damage and inflicts 1/16 of the target's max HP as damage for 2-5 turns. Prevents the target from switching out or fleeing.	
84	ThunderShock	Deals damage and has a 10% chance of paralyzing the target.	
85	Thunderbolt	Deals damage and has a 10% chance of paralyzing the target.	
86	Thunder Wave	Paralyzes the target, reducing their Speed by 75%, and a 25% chance they will fail to act.	
87	Thunder	30% chance to paralyze. Can hit Fly and Bounce. Always hits during the rain. Accuracy is 50 when sunny.	
88	Rock Throw	Deals damage and has no secondary effect.	
89	Earthquake	Deals double damage if opponent is using Dig.	
