# base id	target evo id (0 = single evolution)	evo:percent,...  (PokemonRevoData.lua, converted by tools/trainer-data/convert_revos.py)
1	0	33:8.03001,30:7.99644,153:7.73453,278:7.72096,24:7.59937,192:6.85774,93:6.59241,70:5.64746,294:5.61731,168:5.50174,15:5.47087,114:5.46305,44:5.24971,363:4.97741,47:4.95787,211:3.92817,388:0.19443,379:0.0545,189:0.04749,369:0.04354,49:0.03523,42:0.03451,88:0.03231,299:0.02772,109:0.02534,102:0.02512,296:0.02471,188:0.02413,344:0.02408,72:0.02305,307:0.01802,182:0.00602,368:0.00589,345:0.00346,300:0.00261,71:0.00108,45:0.00094,297:0.00076
2	0	279:11.1874,154:8.65027,169:8.11651,182:7.02777,89:6.90874,110:6.53925,345:5.93836,300:5.31675,389:5.01174,103:4.6347,94:4.61525,45:4.19705,71:4.03911,34:3.97059,31:3.96614,73:3.61494,297:3.33649,368:0.45971,379:0.42004,189:0.32734,24:0.31858,369:0.30447,49:0.27513,42:0.25918,192:0.25082,114:0.14518,307:0.12114,211:0.04731
4	0	240:20.208,156:19.8873,77:17.5521,219:17.389,281:15.1958,58:6.48614,228:1.47948,340:1.33857,321:0.46371
5	0	59:15.6744,126:12.6844,136:12.2718,157:12.2689,78:11.5624,38:11.4054,282:10.7083,229:8.96795,321:3.33568,340:1.12082
7	0	61:11.938,159:10.094,184:10.0368,222:9.98232,313:9.76705,342:8.78107,117:7.59874,284:7.09526,310:7.06893,195:5.99794,211:5.92793,373:1.85678,138:1.4757,140:1.4584,119:0.2377,331:0.17479,226:0.16378,171:0.09005,98:0.04188,325:0.04156,120:0.03945,86:0.03801,296:0.0302,72:0.02674,170:0.01982,99:0.0031,374:0.0031,375:0.00256,224:0.00238,87:0.00162,327:0.00162,381:0.00103,324:0.0009,297:0.00076
8	0	329:6.31306,130:5.56528,160:5.40603,131:5.33319,343:5.11796,134:5.04081,375:4.68373,374:4.68058,224:4.49537,91:4.26189,186:4.19112,314:4.05974,55:4.0534,285:3.97931,230:3.75536,381:3.3506,141:3.06635,139:3.03871,121:2.99621,73:2.84191,80:2.64622,199:2.6384,297:2.58448,62:2.35752,99:0.50644,117:0.37205,327:0.34491,310:0.34406,119:0.31961,87:0.30968,226:0.30083,331:0.29746,195:0.21514,211:0.19214,324:0.18369,171:0.15677
10	0	291:24.371,293:24.3477,14:18.4589,290:16.4193,13:16.4032
11	0	292:11.1486,390:10.6799,386:10.3937,166:10.3773,387:10.3081,193:9.84361,312:8.16436,294:7.48699,168:7.37025,15:7.3623,47:6.58886,302:0.19811,49:0.07791
13	0	293:23.0478,291:23.0465,11:18.0026,290:16.0349,10:15.9997,41:3.86841
14	0	292:6.85051,12:6.84413,390:6.51288,33:6.49311,30:6.45073,386:6.39178,387:6.37421,166:6.37089,193:6.06929,93:5.43776,312:5.1003,294:4.68054,70:4.63668,168:4.58595,2:4.55791,44:4.34106,363:4.13895,47:4.12646,109:0.01568,72:0.01388,24:0.00557,211:0.00049,43:0.00027,1:0.00022,88:0.00018,302:0.00018,42:0.00013,92:0.00013,49:4e-05,379:4e-05
16	0	35:10.2471,177:9.79958,225:9.79742,371:9.62627,188:9.35694,308:9.01684,190:8.98327,133:8.73367,216:8.73196,316:8.11264,83:7.59434
17	0	233:4.0707,217:3.87416,372:3.72413,40:3.69726,123:3.64469,36:3.63462,128:3.61925,241:3.61759,115:3.60658,380:3.5244,53:3.46154,227:3.46095,365:3.45736,234:3.35985,210:3.35967,317:3.30175,302:3.28616,113:3.23692,305:3.16349,85:3.05988,164:2.95792,22:2.95478,142:2.70967,207:2.6229,178:2.61257,189:2.53195,369:2.48563,203:2.2708,42:2.23135,310:2.2158,359:2.17091,226:2.07476
19	0	316:6.82997,108:6.59807,289:6.42966,137:6.42957,40:6.27707,385:6.15467,162:6.08826,206:5.87419,365:5.80383,53:5.77588,317:5.6249,176:5.60886,210:5.60423,113:5.45258,305:5.35687,164:5.05169,22:5.03596,371:0.00067,308:0.00058,380:0.00058,190:0.00054,36:0.00031,83:0.00027,234:0.00027,85:0.00022,18:0.00018,203:9e-05
21	0	198:3.80177,289:3.78897,40:3.69191,20:3.68638,372:3.65188,385:3.63076,36:3.57652,162:3.54179,380:3.45282,206:3.43193,227:3.41746,53:3.39787,365:3.38987,234:3.32831,176:3.2956,210:3.28562,317:3.26859,302:3.25597,113:3.19346,305:3.11654,18:3.0335,85:3.02887,164:2.96453,312:2.80578,178:2.62344,207:2.60816,189:2.53555,369:2.44761,203:2.25975,310:2.22268,42:2.21383,226:2.05229
23	0	93:10.9861,368:9.91142,379:9.44528,2:9.06465,44:8.55793,363:8.07333,49:7.98885,42:7.78467,211:6.41299,45:6.13126,71:6.0183,89:1.15861,294:1.12805,70:1.12033,15:1.07926,168:1.07894,110:1.04273,30:0.87881,33:0.87602,94:0.54316,31:0.33484,34:0.33192,73:0.05257
25	0	338:14.3996,82:14.2492,181:14.1747,101:14.1191,125:14.1128,171:9.09655,354:7.51907,353:7.50716,135:4.82176
27	0	51:12.0458,247:10.375,105:10.0924,207:7.86173,76:7.3463,112:7.33592,221:7.13943,284:6.49392,340:6.36469,195:5.45528,34:4.91194,31:4.90835,324:4.90803,95:1.57379,75:1.36292,232:0.92248,208:0.49917,319:0.25958,334:0.094,285:0.04934
29	0	109:16.3688,72:15.9606,33:12.7406,70:9.13659,294:9.12311,168:8.95842,15:8.92765,44:8.54131,363:8.09979,88:0.70002,1:0.54414,43:0.54145,93:0.19865,2:0.15412,367:0.00139,69:0.00112,92:0.00108,48:0.00099,211:0.00013
30	0	169:10.8408,368:9.20547,89:9.17172,379:8.76593,110:8.70765,49:7.21411,3:7.05725,42:7.02323,94:6.17821,45:5.51414,71:5.33122,34:5.22603,73:4.73455,24:2.14755,93:1.1068,2:0.74104,363:0.5818,211:0.45248
32	0	109:16.3856,72:15.9148,30:12.7855,294:9.14647,70:9.14153,15:8.97707,168:8.94468,44:8.51713,363:8.04443,88:0.69957,43:0.54423,1:0.54172,93:0.20283,2:0.14958,92:0.00157,367:0.00135,69:0.00126,48:0.00067
33	0	169:10.908,368:9.16188,89:9.15002,110:8.74643,379:8.71574,49:7.22948,3:7.08883,42:7.0262,94:6.15287,45:5.49635,71:5.34659,31:5.20832,73:4.73441,24:2.15901,93:1.10091,2:0.733,363:0.59119,211:0.45073
35	0	233:6.39619,217:6.14263,372:5.82904,115:5.65182,128:5.64625,241:5.63757,380:5.50435,53:5.39794,365:5.38878,234:5.31837,210:5.25591,317:5.21933,113:5.08017,305:4.95912,85:4.8117,18:4.80864,164:4.68957,22:4.67389,203:3.58573,20:0.00054,242:0.00049,385:0.0004,40:0.00036,162:0.00027,206:0.00027,289:0.00027,143:0.00022,176:0.00018
37	0	321:12.6446,59:12.1004,126:9.90225,157:9.55523,136:9.5098,78:9.01464,282:8.4567,6:8.44304,340:7.81667,229:7.14163,156:1.36692,5:1.35546,77:1.05239,219:0.98373,281:0.65652
39	0	108:5.79417,137:5.68574,289:5.64283,20:5.50695,385:5.45667,162:5.34528,206:5.20136,380:5.13176,365:5.1088,53:5.09433,234:4.98123,176:4.94412,210:4.93724,317:4.93014,113:4.78011,305:4.67717,85:4.52421,164:4.43322,22:4.41305,203:3.41067,372:0.00031,316:0.00031,18:0.00027,36:4e-05
41	0	123:5.21619,24:4.95472,227:4.91689,302:4.64688,305:4.41606,18:4.24383,85:4.2405,22:4.14489,164:4.11891,312:3.91784,368:3.82712,89:3.81534,379:3.66028,110:3.6601,207:3.58735,178:3.57495,189:3.45345,369:3.31717,49:3.07408,310:2.96305,359:2.89385,226:2.70643,94:2.6491,211:2.47332,45:2.36368,71:2.3036,34:2.27332,31:2.2682,198:0.05136,176:0.04165,166:0.04152,193:0.03995,93:0.02377,142:0.02152,168:0.02044,70:0.01986,44:0.01618,2:0.01546,363:0.01263,292:0.00355,12:0.0031,73:0.00211,294:0.00144,169:0.00135,15:0.00099,6:0.00076,3:0.00072,130:0.00058
42	0	123:11.5518,89:9.01243,142:8.77806,110:8.60444,130:8.59357,6:7.40728,3:7.15561,359:6.80791,94:6.23667,31:5.42917,34:5.3939,73:4.96195,397:1.51956,149:1.51906,227:1.08083,302:0.99793,85:0.8425,18:0.8407,368:0.64834,379:0.58395,178:0.57614,369:0.46933,226:0.26699,45:0.21123,71:0.19537,24:0.05877,305:0.05639,164:0.04785,22:0.04664,207:0.03204,189:0.02629,49:0.0226,310:0.01685,211:0.00777
43	0	33:9.101,30:9.09507,278:8.78274,153:8.77739,192:7.76558,93:7.54581,294:6.43649,70:6.40773,2:6.31211,15:6.2781,168:6.26156,47:5.62553,363:5.624,211:4.49878,299:0.27728,296:0.26052,109:0.25576,188:0.23999,388:0.19542,24:0.10469,114:0.06336,189:0.05145,49:0.03815,72:0.00036,102:0.00031,344:0.00022,1:0.00018,152:0.00013,368:0.00013,88:9e-05,42:4e-05
44	45	24:6.84732,154:6.56203,368:5.26251,89:5.23794,379:5.00967,110:4.9939,114:4.67708,189:4.66872,369:4.51878,345:4.45888,49:4.15082,3:4.09797,42:4.04639,300:4.01031,389:3.80303,94:3.55653,103:3.49384,71:3.08423,307:3.07709,34:3.02061,31:3.00416,73:2.71362,297:2.48999,279:0.89382,169:0.51754,192:0.47221,153:0.2164,278:0.20899,93:0.13866,70:0.11031,294:0.10842,211:0.10245,15:0.10119,168:0.10088,2:0.09135,47:0.08016,363:0.07221
44	182	24:7.04646,154:6.72802,368:5.40801,89:5.38127,379:5.10359,110:5.09878,114:4.77022,189:4.76137,369:4.63201,345:4.56038,49:4.22905,3:4.14569,42:4.12314,300:4.10943,389:3.83044,94:3.59917,103:3.52723,307:3.12076,71:3.12058,31:3.03907,34:3.01827,73:2.71946,297:2.50499,279:0.45176,169:0.25976,192:0.22161,153:0.08304,278:0.07989,93:0.04799,211:0.04619,294:0.03824,70:0.03774,15:0.0372,168:0.03577,2:0.03082,47:0.02813,363:0.02444
46	0	292:6.99479,12:6.96082,166:6.50236,387:6.4847,386:6.48457,153:6.40962,278:6.3805,193:6.16959,192:5.69572,312:5.15175,70:4.77112,294:4.72417,168:4.67501,15:4.66512,2:4.62051,114:4.58519,44:4.43125,363:4.21673,388:0.0191,390:0.01743,205:0.01344,302:0.00998,369:0.00418,189:0.00377,49:0.00288,307:0.00139,296:0.00085,102:0.00081,188:0.00076,299:0.00072,344:0.00054,182:0.00036,300:0.00013,45:9e-05,71:4e-05
