# trainer id	which rival  (TrainerData.Trainers[id].whichRival, converted by tools/trainer-data/convert_rivals.py)
520	Brendan Left
521	Brendan Left
522	Brendan Left
523	Brendan Middle
524	Brendan Middle
525	Brendan Middle
526	Brendan Right
527	Brendan Right
528	Brendan Right
529	May Left
530	May Left
531	May Left
532	May Middle
533	May Middle
534	May Middle
535	May Right
536	May Right
537	May Right
592	Brendan Middle
593	Brendan Left
599	Brendan Right
600	May Left
661	Brendan Left
662	Brendan Middle
663	Brendan Right
664	May Left
665	May Middle
666	May Right
768	May Middle
769	May Right
