1	Mom's House	
2	Your Room	
3	Rival's House	
4	Rival's Room	
5	Oak's Lab	
8	Pokémon Center	
9	Pokémon Center 2F	
10	PokéMart	
12	Cerulean Gym	
15	Celadon Gym	
20	Fuchsia Gym	
25	Vermilion Gym	
27	Game Corner	
28	Pewter Gym	
34	Saffron Gym	
36	Cinnabar Gym	
37	Viridian Gym	
77	Safari Rest House	
78	Pallet Town	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,90,116,117,130|SURFING:72
79	Viridian City	GOODROD:60,118,129|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54
80	Pewter City	
81	Cerulean City	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,116,130|SURFING:72
82	Lavender Town	
83	Vermilion City	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,90,116,130|SURFING:72
84	Celadon City	GOODROD:129|OLDROD:129|SUPERROD:88,129|SURFING:54,109
85	Fuchsia City	GOODROD:60,118,129|OLDROD:129|SUPERROD:54,118,119,130|SURFING:54
86	Cinnabar Island	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,90,116,117,130|SURFING:72
87	Indigo Plateau	
88	Saffron City Conn.	
89	Route 1	LAND:16,19
90	Route 2	LAND:10,13,16,19
91	Route 3	LAND:16,21,29,32,39,56
92	Route 4	GOODROD:98,116,129|LAND:19,21,23,56|OLDROD:129|SUPERROD:54,116,130|SURFING:72
93	Route 5	LAND:16,43,52
94	Route 6	GOODROD:60,118,129|LAND:16,43,52|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54
95	Route 7	LAND:16,43,52,58
96	Route 8	LAND:16,23,52,58
97	Route 9	LAND:19,21,23
98	Route 10	GOODROD:98,116,129|LAND:21,23,100|OLDROD:129|SUPERROD:54,116,130|SURFING:72
99	Route 11	GOODROD:98,116,129|LAND:21,23,96|OLDROD:129|SUPERROD:54,116,130|SURFING:72
100	Route 12	GOODROD:98,116,129|LAND:16,43,44,48|OLDROD:129|STATIC:143|SUPERROD:54,116,130|SURFING:72
101	Route 13	GOODROD:98,116,129|LAND:16,17,43,44,48,132|OLDROD:129|SUPERROD:54,116,130|SURFING:72
102	Route 14	LAND:16,17,43,44,48,132
103	Route 15	LAND:16,17,43,44,48,132
104	Route 16	LAND:19,20,21,84|STATIC:143
105	Route 17	LAND:19,20,21,22,84
106	Route 18	LAND:19,20,21,22,84
107	Route 19	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,116,117,130|SURFING:72
108	Route 20	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,116,117,130|SURFING:72
109	Route 21 North	GOODROD:98,116,129|LAND:114|OLDROD:129|SUPERROD:54,116,117,130|SURFING:72
110	Route 22	GOODROD:60,118,129|LAND:19,21,56|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54
111	Route 23	GOODROD:60,118,129|LAND:21,22,23,24,56,57|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54
112	Route 24	GOODROD:98,116,129|LAND:10,11,13,14,16,43,63|OLDROD:129|SUPERROD:54,116,130|SURFING:72
113	Route 25	GOODROD:60,118,129|LAND:10,11,13,14,16,43,63|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54
114	Mt. Moon 1F	LAND:35,41,46,74
115	Mt. Moon B1F	LAND:46
116	Mt. Moon B2F	LAND:35,41,46,74
117	Viridian Forest	LAND:10,11,13,14,25
118	S.S. Anne Ext.	
119	S.S. Anne 1F	
120	S.S. Anne 2F	
121	S.S. Anne 3F	
122	S.S. Anne B1F	
123	S.S. Anne Deck	
124	Diglett's Cave B1F	LAND:50,51
125	Victory Road 1F	LAND:24,41,42,66,67,74,95,105
126	Victory Road 2F	LAND:24,41,42,57,66,67,74,95,105
127	Victory Road 3F	LAND:24,41,42,66,67,74,95,105
128	Rocket Hideout B1F	
129	Rocket Hideout B2F	
130	Rocket Hideout B3F	
131	Rocket Hideout B4F	
132	Silph Co. 1F	
133	Silph Co. 2F	
134	Silph Co. 3F	
135	Silph Co. 4F	
136	Silph Co. 5F	
137	Silph Co. 6F	
138	Silph Co. 7F	
139	Silph Co. 8F	
140	Silph Co. 9F	
141	Silph Co. 10F	
142	Silph Co. 11F	
143	Poké Mansion 1F	LAND:19,20,58,88,109,110
144	Poké Mansion 2F	LAND:19,20,58,88,109,110
145	Poké Mansion 3F	LAND:19,20,58,88,109,110
146	Poké Mansion B1F	LAND:19,20,58,88,109,110,132
147	Safari Zone Center	GOODROD:60,118,129|LAND:30,32,33,47,48,102,111,113,123|OLDROD:129|SUPERROD:54,118,119,147,148|SURFING:54
148	Safari Zone East	GOODROD:60,118,129|LAND:29,32,33,46,47,84,102,115,123|OLDROD:129|SUPERROD:54,118,119,147,148|SURFING:54
149	Safari Zone North	GOODROD:60,118,129|LAND:30,32,33,46,49,102,111,113,128|OLDROD:129|SUPERROD:54,118,119,147,148|SURFING:54
150	Safari Zone West	GOODROD:60,118,129|LAND:29,32,33,48,49,84,102,115,128|OLDROD:129|SUPERROD:54,118,119,147,148|SURFING:54
151	Cerulean Cave 1F	GOODROD:60,118,129|LAND:42,47,57,67,82,101,132,202|OLDROD:129|ROCKSMASH:74,75|SUPERROD:54,60,61,130|SURFING:54,55
152	Cerulean Cave 2F	LAND:42,47,64,67,82,101,132,202|ROCKSMASH:74,75
153	Cerulean Cave B1F	GOODROD:60,118,129|LAND:42,47,64,67,82,101,132,202|OLDROD:129|ROCKSMASH:74,75|STATIC:150|SUPERROD:54,60,61,130|SURFING:54,55
154	Rock Tunnel 1F	LAND:41,56,66,74,95
155	Rock Tunnel B1F	LAND:41,56,66,74,95|ROCKSMASH:74,75
156	Seafoam Islands 1F	LAND:41,42,54
157	Seafoam Islands B1F	LAND:41,42,54,55,86
158	Seafoam Islands B2F	LAND:41,42,54,55,86
159	Seafoam Islands B3F	GOODROD:98,116,129|LAND:41,42,54,55,86,87|OLDROD:129|SUPERROD:54,116,130|SURFING:54,55,86,87,116
160	Seafoam Islands B4F	GOODROD:98,116,129|LAND:42,54,55,86,87|OLDROD:129|STATIC:144|SUPERROD:54,116,130|SURFING:54,55,86,87,116
161	Pokémon Tower 1F	
162	Pokémon Tower 2F	
163	Pokémon Tower 3F	LAND:92,93,104
164	Pokémon Tower 4F	LAND:92,93,104
165	Pokémon Tower 5F	LAND:92,93,104
166	Pokémon Tower 6F	LAND:92,93,104|STATIC:105
167	Pokémon Tower 7F	LAND:92,93,104
168	Power Plant	LAND:25,81,82,100|STATIC:101,145
177	S.S. Anne Rooms	
178	S.S. Anne Rooms	
212	Indigo Plateau PC	
213	Lorelei's Room	
214	Bruno's Room	
215	Agatha's Room	
216	Lance's Room	
217	Champion's Room	
219	Route 21 South	GOODROD:98,116,129|OLDROD:129|SUPERROD:54,116,130|SURFING:72
228	Dojo	
230	One Island	GOODROD:116,129|OLDROD:129|SUPERROD:54,90,116,117,130|SURFING:72,73
232	Three Island	
233	Four Island	GOODROD:60,118,129|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54,194
234	Five Island	GOODROD:116,129|OLDROD:129|SUPERROD:54,90,116,117,130|SURFING:72,73,187
237	Kindle Road	GOODROD:116,129|LAND:21,22,52,53,54,74,77,78|OLDROD:129|ROCKSMASH:74,75|SUPERROD:54,116,117,130|SURFING:72,73
238	Treasure Beach	GOODROD:116,129|LAND:21,22,52,53,54,114|OLDROD:129|SUPERROD:54,116,117,130|SURFING:72,73
239	Cape Brink	GOODROD:60,118,129|LAND:21,22,43,44,52,53,54,55|OLDROD:129|SUPERROD:54,60,61,130|SURFING:54,55
