# set number	map id  (RandomizerLog.RouteSetNumToIdMap, converted by tools/trainer-data/convert_routesets.py)
1	17
2	18
3	18
4	18
5	19
6	19
7	19
8	20
9	20
10	20
11	21
12	21
13	26
14	26
15	26
16	27
17	27
18	27
19	27
20	28
21	29
22	30
23	30
24	30
25	30
26	32
27	33
28	33
29	33
30	34
31	34
32	34
33	40
34	40
35	135
36	129
37	132
38	133
39	137
40	163
41	241
42	52
43	189
44	189
45	134
46	134
47	293
48	128
49	128
50	128
51	292
52	22
53	22
54	23
55	23
56	24
57	24
58	25
59	25
60	31
61	31
62	31
63	185
64	35
65	35
66	35
67	36
68	36
69	36
70	37
71	37
72	37
73	38
74	38
75	39
76	39
77	39
78	138
79	139
80	140
81	141
82	142
83	302
84	303
85	288
86	41
87	41
88	42
89	42
90	43
91	43
92	44
93	44
94	45
95	45
96	46
97	46
98	46
99	47
100	47
101	48
102	48
103	49
104	49
105	50
106	50
107	189
108	189
109	148
110	149
111	150
112	151
113	152
114	147
115	147
116	147
117	153
118	153
119	153
120	154
121	154
122	154
123	157
124	158
125	162
126	162
127	162
128	184
129	240
130	240
131	240
132	239
133	239
134	238
135	238
136	238
137	285
138	285
139	286
140	286
141	286
142	125
143	125
144	125
145	126
146	126
147	126
148	127
149	127
150	127
151	164
152	165
153	168
154	168
155	168
156	169
157	169
158	169
159	6
160	6
161	12
162	12
163	2
164	2
165	7
166	7
167	16
168	16
169	9
170	9
171	1
172	1
173	51
174	167
175	322
176	8
177	8
178	324
179	330
180	395
181	395
182	395
183	394
184	394
185	336
186	337
187	338
188	339
189	340
190	341
191	379
192	380
193	381
194	382
195	383
196	388
197	389
198	400
199	401
200	340
201	340
202	340
203	340
204	340
205	340
206	340
207	340
208	340
209	431
