# set number	map id  (RandomizerLog.RouteSetNumToIdMap, converted by tools/trainer-data/convert_routesets.py)
1	335
2	336
3	337
4	338
5	339
6	362
7	363
8	117
9	114
10	115
11	116
12	118
13	118
14	124
15	125
16	126
17	127
18	143
19	144
20	145
21	146
22	147
23	147
24	147
25	148
26	148
27	148
28	149
29	149
30	149
31	150
32	150
33	150
34	151
35	151
36	151
37	151
38	152
39	152
40	153
41	153
42	153
43	153
44	154
45	155
46	155
47	156
48	157
49	158
50	159
51	159
52	159
53	160
54	160
55	160
56	163
57	164
58	165
59	166
60	167
61	168
62	280
63	280
64	282
65	283
66	283
67	284
68	285
69	285
70	286
71	286
72	287
73	287
74	288
75	288
76	289
77	289
78	290
79	290
80	270
81	270
82	270
83	293
84	293
85	293
86	294
87	295
88	296
89	296
90	296
91	317
92	321
93	322
94	323
95	324
96	325
97	326
98	327
99	328
100	329
101	330
102	331
103	332
104	333
105	334
106	237
107	237
108	237
109	237
110	238
111	238
112	238
113	239
114	239
115	239
116	240
117	240
118	240
119	241
120	246
121	246
122	247
123	247
124	248
125	248
126	248
127	249
128	249
129	249
130	250
131	250
132	251
133	251
134	252
135	252
136	252
137	253
138	253
139	253
140	254
141	254
142	255
143	256
144	256
145	257
146	257
147	89
148	90
149	91
150	92
151	92
152	92
153	93
154	94
155	94
156	94
157	95
158	96
159	97
160	98
161	98
162	98
163	99
164	99
165	99
166	100
167	100
168	100
169	101
170	101
171	101
172	102
173	103
174	104
175	105
176	106
177	107
178	107
179	108
180	108
181	109
182	109
183	109
184	219
185	219
186	219
187	110
188	110
189	110
190	111
191	111
192	111
193	112
194	112
195	112
196	113
197	113
198	113
199	78
200	78
201	79
202	79
203	81
204	81
205	83
206	83
207	84
208	84
209	85
210	85
211	86
212	86
213	230
214	230
215	233
216	233
217	234
218	234
219	340
220	340
221	340
222	340
223	340
224	340
225	340
226	340
227	340
