# set number	map id  (RandomizerLog.RouteSetNumToIdMap, converted by tools/trainer-data/convert_routesets.py)
1	1
2	1
3	2
4	2
5	6
6	6
7	7
8	7
9	8
10	8
11	9
12	9
13	126
14	126
15	126
16	127
17	127
18	127
19	128
20	128
21	128
22	129
23	129
24	129
25	130
26	133
27	134
28	135
29	135
30	289
31	136
32	293
33	294
34	138
35	139
36	140
37	141
38	142
39	143
40	303
41	304
42	148
43	148
44	148
45	149
46	150
47	151
48	152
49	153
50	154
51	154
52	154
53	155
54	155
55	155
56	158
57	159
58	160
59	161
60	162
61	164
62	286
63	286
64	287
65	287
66	287
67	169
68	169
69	169
70	170
71	170
72	170
73	165
74	166
75	168
76	185
77	186
78	190
79	190
80	190
81	190
82	323
83	325
84	331
85	17
86	18
87	18
88	18
89	19
90	19
91	19
92	20
93	20
94	20
95	21
96	21
97	22
98	22
99	23
100	23
101	24
102	24
103	25
104	25
105	26
106	26
107	26
108	27
109	27
110	27
111	27
112	28
113	29
114	30
115	30
116	30
117	30
118	31
119	31
120	31
121	32
122	33
123	33
124	33
125	34
126	34
127	34
128	35
129	35
130	35
131	36
132	36
133	36
134	37
135	37
136	37
137	38
138	38
139	39
140	39
141	39
142	40
143	40
144	41
145	41
146	42
147	42
148	43
149	43
150	44
151	44
152	45
153	45
154	46
155	46
156	46
157	47
158	47
159	48
160	48
161	49
162	49
163	50
164	50
165	239
166	239
167	239
168	240
169	240
170	241
171	241
172	241
173	242
174	12
175	12
176	16
177	16
178	193
179	197
