# map id	name  (NDS-Ironmon-Tracker LocationData.lua, converted by tools/trainer-data/convert_locations.py)
0	Mystery Zone
1	Mystery Zone
2	Mystery Zone
3	Jubilife City
4	Jubilife City
5	Jubilife City's gym
6	Jubilife City
7	Jubilife City
8	Pokétch Co.
9	Pokétch Co.
10	Pokétch Co.
11	Jubilife TV
12	Jubilife TV
13	Jubilife TV
14	Jubilife TV
15	Jubilife TV
16	Jubilife TV
17	Jubilife TV
18	Jubilife TV
19	Jubilife City
20	Jubilife City
21	Jubilife City
22	Jubilife City
23	Jubilife City
24	Jubilife City
25	Jubilife City
26	Jubilife City
27	Jubilife City
28	Global Terminal
29	Trainers' School
30	Jubilife City
31	Jubilife City
32	Jubilife City
33	Canalave City
34	Canalave City
35	Canalave City's gym
36	Canalave City
37	Canalave City
38	Canalave Library
39	Canalave Library
40	Canalave Library
41	Canalave City
42	Canalave City
43	Canalave City
44	Canalave City
45	Oreburgh City
46	Oreburgh City
47	Oreburgh City's gym
48	Oreburgh City
49	Oreburgh City
50	Oreburgh City
51	Oreburgh City
52	Oreburgh City
53	Oreburgh City
54	Oreburgh City
55	Oreburgh City
56	Oreburgh City
57	Oreburgh City
58	Oreburgh City
59	Mining Museum
60	Oreburgh City
61	Oreburgh City
62	Oreburgh City
63	Oreburgh City
64	Oreburgh City
65	Eterna City
66	Eterna City
67	Eterna City's gym
68	Eterna City's gym
69	Eterna City
70	Eterna City
71	Cycle Shop
72	T.G. Eterna Bldg
73	T.G. Eterna Bldg
74	T.G. Eterna Bldg
75	T.G. Eterna Bldg
76	Eterna City
77	Eterna City
78	Eterna City
79	Eterna City
80	Route 206
81	Eterna City
82	Eterna City
83	Eterna City
84	Eterna City
85	Eterna City
86	Hearthome City
87	Hearthome City
88	Hearthome City's gym
89	Hearthome City's gym
90	Hearthome City's gym
91	Hearthome City's gym
92	Hearthome City's gym
93	Hearthome City's gym
94	Hearthome City's gym
95	Hearthome City's gym
96	Hearthome City's gym
97	Hearthome City's gym
98	Hearthome City's gym
99	Hearthome City's gym
100	Hearthome City's gym
101	Hearthome City
102	Hearthome City
103	Hearthome City
104	Hearthome City
105	Hearthome City
106	Hearthome City
107	Hearthome City
108	Hearthome City
109	Route 208
110	Route 209
111	Route 212
112	Hearthome City
113	Hearthome City
114	Hearthome City
115	Hearthome City
116	Poffin House
117	Contest Hall
118	Contest Hall
119	Foreign Building
120	Pastoria City
121	Pastoria City
122	Pastoria City's gym
123	Pastoria City
124	Pastoria City
125	Pastoria City
126	Pastoria City
127	Pastoria City
128	Pastoria City
129	Pastoria City
130	Pastoria City
131	Pastoria City
132	Veilstone City
133	Veilstone City's gym
134	Veilstone City
135	Veilstone City
136	Game Corner
137	Veilstone Store
138	Veilstone Store
139	Veilstone Store
140	Veilstone Store
141	Veilstone Store
142	Veilstone Store
143	Veilstone City
144	Veilstone City
145	Veilstone City
146	Veilstone City
147	Veilstone City
148	Veilstone City
149	Route 215
150	Sunyshore City
151	Sunyshore City
152	Sunyshore City
153	Sunyshore City
154	Sunyshore City's gym
155	Sunyshore City's gym
156	Sunyshore City's gym
157	Sunyshore Market
158	Sunyshore City
159	Sunyshore City
160	Sunyshore City
161	Sunyshore City
162	Sunyshore City
163	Sunyshore City
164	Vista Lighthouse
165	Snowpoint City
166	Snowpoint City
167	Snowpoint City's gym
168	Snowpoint City
169	Snowpoint City
170	Snowpoint City
171	Snowpoint City
172	Pokémon League
173	Pokémon League
174	Pokémon League
175	Pokémon League
176	Pokémon League
177	Pokémon League
178	Pokémon League
179	Pokémon League
180	Pokémon League
181	Pokémon League
182	Pokémon League
183	Pokémon League
184	Pokémon League
185	Pokémon League
186	Pokémon League
187	Pokémon League
188	Fight Area
189	Fight Area
190	Fight Area
191	Fight Area
192	Battle Park
193	Route 225
194	Fight Area
195	Fight Area
196	Mystery Zone
197	Oreburgh Mine
198	Oreburgh Mine
199	Oreburgh Mine
200	Valley Windworks
201	Valley Windworks
202	Eterna Forest
203	Eterna Forest
204	Fuego Ironworks
205	Fuego Ironworks
206	Mystery Zone
207	Mt. Coronet
208	Mt. Coronet
209	Mt. Coronet
210	Mt. Coronet
211	Mt. Coronet
212	Mt. Coronet
213	Mt. Coronet
214	Mt. Coronet
215	Mt. Coronet
216	Mt. Coronet
217	Mt. Coronet
218	Mt. Coronet
219	Mt. Coronet
220	Spear Pillar
221	Spear Pillar
222	Mystery Zone
223	Pastoria City
224	Mystery Zone
225	Solaceon Ruins
226	Solaceon Ruins
227	Solaceon Ruins
228	Solaceon Ruins
229	Solaceon Ruins
230	Solaceon Ruins
231	Solaceon Ruins
232	Solaceon Ruins
233	Solaceon Ruins
234	Solaceon Ruins
235	Solaceon Ruins
236	Solaceon Ruins
237	Solaceon Ruins
238	Solaceon Ruins
239	Solaceon Ruins
240	Solaceon Ruins
241	Solaceon Ruins
242	Solaceon Ruins
243	Mystery Zone
244	Victory Road
245	Victory Road
246	Victory Road
247	Victory Road
248	Victory Road
249	Victory Road
250	Mystery Zone
251	Pal Park
252	Mystery Zone
253	Amity Square
254	Ravaged Path
255	Mystery Zone
256	Floaroma Meadow
257	Floaroma Meadow
258	Oreburgh Gate
259	Oreburgh Gate
260	Fullmoon Island
261	Fullmoon Island
262	Stark Mountain
263	Stark Mountain
264	Stark Mountain
265	Stark Mountain
266	Mystery Zone
267	Sendoff Spring
268	Turnback Cave
269	Turnback Cave
270	Turnback Cave
271	Turnback Cave
272	Turnback Cave
273	Turnback Cave
274	Flower Paradise
275	Mystery Zone
276	Mystery Zone
277	Mystery Zone
278	Snowpoint Temple
279	Snowpoint Temple
280	Snowpoint Temple
281	Snowpoint Temple
282	Snowpoint Temple
283	Snowpoint Temple
284	Wayward Cave
285	Wayward Cave
286	Ruin Maniac Cave
287	Trophy Garden
288	Iron Island
289	Iron Island
290	Iron Island
291	Iron Island
292	Iron Island
293	Iron Island
294	Iron Island
295	Old Chateau
296	Old Chateau
297	Old Chateau
298	Old Chateau
299	Old Chateau
300	Old Chateau
301	Old Chateau
302	Old Chateau
303	Old Chateau
304	Mystery Zone
305	Galactic HQ
306	Galactic HQ
307	Galactic HQ
308	Galactic HQ
309	Galactic HQ
310	Galactic HQ
311	Lake Verity
312	Lake Verity
313	Verity Cavern
314	Lake Valor
315	Lake Valor
316	Verity Cavern
317	Lake Acuity
318	Lake Acuity
319	Acuity Cavern
320	Newmoon Island
321	Newmoon Island
322	Battle Park
323	Battle Park
324	Mystery Zone
325	Mystery Zone
326	Battle Tower
327	Battle Tower
328	Battle Tower
329	Battle Tower
330	Battle Tower
331	Battle Tower
332	Mystery Zone
333	Mystery Zone
334	Verity Lakefront
335	Verity Lakefront
336	Verity Lakefront
337	Restaurant
338	Grand Lake
339	Grand Lake
340	Acuity Lakefront
341	Spring Path
342	Route 201
343	Route 202
344	Route 203
345	Route 204
346	Route 204
347	Route 205
348	Route 205
349	Route 205
350	Route 206
351	Route 206
352	Mystery Zone
353	Route 207
354	Route 208
355	Route 208
356	Route 209
357	Route 209
358	Route 209
359	Route 209
360	Route 209
361	Route 209
362	Route 210
363	Route 210
364	Route 210
365	Route 211
366	Route 211
367	Route 212
368	Pokémon Mansion
369	Pokémon Mansion
370	Pokémon Mansion
371	Route 212
372	Route 212
373	Route 213
374	Route 213
375	Footstep House
376	Grand Lake
377	Grand Lake
378	Grand Lake
379	Grand Lake
380	Route 214
381	Route 214
382	Route 215
383	Route 216
384	Route 216
385	Route 217
386	Route 217
387	Route 217
388	Route 218
389	Route 218
390	Route 218
391	Route 219
392	Route 221
393	Pal Park
394	Route 221
395	Route 222
396	Route 222
397	Route 222
398	Route 222
399	Route 224
400	Route 225
401	Mystery Zone
402	Mystery Zone
403	Route 227
404	Mystery Zone
405	Mystery Zone
406	Route 228
407	Route 229
408	Mystery Zone
409	Mystery Zone
410	Mystery Zone
411	Twinleaf Town
412	Twinleaf Town
413	Twinleaf Town
414	Twinleaf Town
415	Twinleaf Town
416	Twinleaf Town
417	Twinleaf Town
418	Sandgem Town
419	Sandgem Town
420	Sandgem Town
421	Sandgem Town
422	Sandgem Town
423	Sandgem Town
424	Sandgem Town
425	Sandgem Town
426	Floaroma Town
427	Floaroma Town
428	Floaroma Town
429	Floaroma Town
430	Flower Shop
431	Floaroma Town
432	Floaroma Town
433	Solaceon Town
434	Solaceon Town
435	Solaceon Town
436	Solaceon Town
437	Pokémon Day Care
438	Solaceon Town
439	Solaceon Town
440	Solaceon Town
441	Solaceon Town
442	Celestic Town
443	Celestic Town
444	Celestic Town
445	Celestic Town
446	Celestic Town
447	Celestic Town
448	Celestic Town
449	Celestic Town
450	Survival Area
451	Survival Area
452	Survival Area
453	Survival Area
454	Battleground
455	Survival Area
456	Survival Area
457	Resort Area
458	Resort Area
459	Resort Area
460	Resort Area
461	Resort Area
462	Resort Area
463	Resort Area
464	Villa
465	Resort Area
466	Mystery Zone
467	Route 220
468	Route 223
469	Route 226
470	Mystery Zone
471	Route 230
472	Seabreak Path
473	Mystery Zone
474	Jubilife City
475	Canalave City
476	Oreburgh City
477	Eterna City
478	Hearthome City
479	Pastoria City
480	Veilstone City
481	Sunyshore City
482	Snowpoint City
483	Pokémon League
484	Fight Area
485	Sandgem Town
486	Floaroma Town
487	Solaceon Town
488	Celestic Town
489	Survival Area
490	Resort Area
491	Canalave City
492	Café
493	Battle Tower
494	Galactic HQ
495	Pokémon League
496	Pokémon League
497	Galactic HQ
498	Route 225
499	Route 226
500	Route 227
501	Route 228
502	Route 228
503	Route 228
504	Great Marsh
505	Great Marsh
506	Great Marsh
507	Great Marsh
508	Great Marsh
509	Great Marsh
510	Hall of Origin
511	Hall of Origin
512	Ruin Maniac Cave
513	Maniac Tunnel
514	Iron Island
515	Solaceon Ruins
516	Vista Lighthouse
517	Jubilife City
518	Turnback Cave
519	Turnback Cave
520	Turnback Cave
521	Turnback Cave
522	Turnback Cave
523	Turnback Cave
524	Turnback Cave
525	Turnback Cave
526	Turnback Cave
527	Turnback Cave
528	Turnback Cave
529	Turnback Cave
530	Turnback Cave
531	Turnback Cave
532	Turnback Cave
533	Turnback Cave
534	Turnback Cave
535	Turnback Cave
536	Turnback Cave
537	Turnback Cave
538	Turnback Cave
539	Turnback Cave
540	Turnback Cave
541	Turnback Cave
542	Turnback Cave
543	Turnback Cave
544	Turnback Cave
545	Turnback Cave
546	Turnback Cave
547	Turnback Cave
548	Turnback Cave
549	Turnback Cave
550	Turnback Cave
551	Turnback Cave
552	Turnback Cave
553	Turnback Cave
554	Turnback Cave
555	Turnback Cave
556	Turnback Cave
557	Turnback Cave
558	Contest Hall
559	Battle Frontier
560	Battle Frontier
561	Battle Tower
562	Battle Factory
563	Battle Hall
564	Battle Castle
565	Battle Arcade
566	Veilstone Store
567	Global Terminal
568	Global Terminal
569	Galactic HQ
570	Distortion World
571	Rotom's Room
572	T.G. Eterna Bldg
573	Distortion World
574	Distortion World
575	Distortion World
576	Distortion World
577	Distortion World
578	Distortion World
579	Distortion World
580	Distortion World
581	Distortion World
582	Distortion World
583	Distortion World
584	Spear Pillar
585	Spear Pillar
586	Jubilife City
587	Iron Island
588	Iron Ruins
589	Mt. Coronet
590	Iceberg Ruins
591	Route 228
592	Rpck Peak Ruins
