# map id	name  (NDS-Ironmon-Tracker LocationData.lua, converted by tools/trainer-data/convert_locations.py)
0	Black City
6	Striaton City
16	Nacrene City
28	Castelia City
29	Castelia City's gym
30	Castelia City's gym
62	Nimbasa City
67	Nimbasa City's gym
96	Driftveil City
102	Driftveil City's gym
107	Mistralton City
113	Icirrus City
120	Opelucid City
121	Mistralton City's gym
134	Opelucid City's gym
136	Pokémon League
147	Unity Tower
152	Dreamyard
154	Pinwheel Exterior
155	Pinwheel Forest
157	Desert Resort
160	Relic Castle
165	Aspertia City's gym
176	Virbank City's gym
184	Humilau City's gym
191	Cold Storage
194	Chargestone Cave
198	Twist Mountain
205	Dragonspiral Tower
214	Victory Road
230	Giant Chasm
235	Liberty Garden
238	P2 Laboratory
240	Undella Bay
241	Abyssal Ruins
249	Skyarrow Bridge
253	Driftveil Drawbridge
254	Tubeline Bridge
255	Village Bridge
263	Marvelous Bridge
264	N's Castle
279	Entree Forest
289	Nimbasa City
290	Driftveil City
291	Mistralton City
292	Icirrus City
293	Opelucid City
294	Black City
295	White Forest
296	Cold Storage
297	Chargestone Cave
298	Twist Mountain
299	Dragonspiral Tower
300	Giant Chasm
301	Driftveil Drawbridge
302	Tubeline Bridge
303	Marvelous Bridge
304	Route 5
305	Route 6
306	Route 7
307	Route 8
308	Route 9
309	Route 11
310	Route 12
311	Route 13
312	Route 14
313	Route 15
314	Route 16
315	Lacunosa Town
316	Undella Town
317	Route 1
319	Route 2
321	Route 3
324	Wellspring Cave
326	Route 4
329	Route 5
331	Route 6
333	Mistralton Cave
337	Route 7
338	Celestial Tower
345	Route 8
346	Moor of Icirrus
348	Route 9
352	Challenger's Cave
355	Route 10
365	Route 11
368	Route 12
370	Route 13
374	Route 14
376	Abundant Shrine
378	Route 15
381	Poké Transfer Lab
383	Route 16
385	Lostlorn Forest
387	Route 18
389	Nuvema Town
397	Accumula Town
406	Lacunosa Town
412	Undella Town
418	Anville Town
423	Route 17
424	White Forest
427	Aspertia City
437	Route 19
439	Floccesy Town
444	Floccesy Ranch
446	Route 20
448	Virbank City
456	Virbank Complex
458	Lentimas Town
461	Reversal Mountain
462	Strange House
463	Route 21
464	Marine Tube
465	Humilau City
474	Route 22
475	Route 23
490	Join Avenue
495	Castelia Sewers
503	Relic Passage
506	Clay Tunnel
515	Seaside Cave
517	Cave of Being
518	Hidden Grotto
552	Plasma Frigate
566	Pokéstar Studios
573	Victory Road
584	Nature Preserve
