1	Pound	40	100	NORMAL	35	PHYSICAL
2	Karate Chop	0	0		0	
3	DoubleSlap	15	85	NORMAL	10	PHYSICAL
4	Comet Punch	18	85	NORMAL	15	PHYSICAL
5	Mega Punch	80	85	NORMAL	20	PHYSICAL
6	Pay Day	40	100	NORMAL	20	PHYSICAL
7	Fire Punch	75	100	FIRE	15	PHYSICAL
8	Ice Punch	75	100	ICE	15	PHYSICAL
9	ThunderPunch	75	100	ELECTRIC	15	PHYSICAL
10	Scratch	40	100	NORMAL	35	PHYSICAL
11	ViceGrip	55	100	NORMAL	30	PHYSICAL
12	Guillotine	0	30	NORMAL	5	PHYSICAL
13	Razor Wind	80	0	NORMAL	10	SPECIAL
14	Swords Dance	0	0	NORMAL	30	STATUS
15	Cut	50	95	NORMAL	30	PHYSICAL
16	Gust	0	0		0	
17	Wing Attack	0	100	FLYING	35	PHYSICAL
18	Whirlwind	0	0	NORMAL	20	STATUS
19	Fly	0	95	FLYING	15	PHYSICAL
20	Bind	15	0	NORMAL	20	PHYSICAL
21	Slam	80	75	NORMAL	20	PHYSICAL
22	Vine Whip	35	100	GRASS	0	PHYSICAL
23	Stomp	65	100	NORMAL	20	PHYSICAL
24	Double Kick	30	100	FIGHTING	30	PHYSICAL
25	Mega Kick	120	75	NORMAL	5	PHYSICAL
26	Jump Kick	0	95	FIGHTING	0	PHYSICAL
27	Rolling Kick	60	85	FIGHTING	15	PHYSICAL
28	Sand-Attack	0	0		0	
29	Headbutt	70	100	NORMAL	15	PHYSICAL
30	Horn Attack	65	100	NORMAL	25	PHYSICAL
31	Fury Attack	15	85	NORMAL	20	PHYSICAL
32	Horn Drill	0	30	NORMAL	5	PHYSICAL
33	Tackle	0	0	NORMAL	35	PHYSICAL
34	Body Slam	85	100	NORMAL	15	PHYSICAL
35	Wrap	15	0	NORMAL	20	PHYSICAL
36	Take Down	90	85	NORMAL	20	PHYSICAL
37	Thrash	0	100	NORMAL	0	PHYSICAL
38	Double-Edge	0	100	NORMAL	15	PHYSICAL
39	Tail Whip	0	100	NORMAL	30	STATUS
40	Poison Sting	15	100	POISON	35	PHYSICAL
41	Twineedle	25	100	BUG	20	PHYSICAL
42	Pin Missile	14	85	BUG	20	PHYSICAL
43	Leer	0	100	NORMAL	30	STATUS
44	Bite	0	0		0	
45	Growl	0	100	NORMAL	40	STATUS
