# national id	name	evolution (a level, or a type code; empty for none)
1	Bulbasaur	16
2	Ivysaur	32
3	Venusaur	
4	Charmander	16
5	Charmeleon	36
6	Charizard	
7	Squirtle	16
8	Wartortle	36
9	Blastoise	
10	Caterpie	7
11	Metapod	10
12	Butterfree	
13	Weedle	7
14	Kakuna	10
15	Beedrill	
16	Pidgey	18
17	Pidgeotto	36
18	Pidgeot	
19	Rattata	20
20	Raticate	
21	Spearow	20
22	Fearow	
23	Ekans	22
24	Arbok	
25	Pikachu	THUNDR
26	Raichu	
27	Sandshrew	22
28	Sandslash	
29	Nidoran F	16
30	Nidorina	MOON
31	Nidoqueen	
32	Nidoran M	16
33	Nidorino	MOON
34	Nidoking	
35	Clefairy	MOON
36	Clefable	
37	Vulpix	FIRE
38	Ninetales	
39	Jigglypuff	MOON
40	Wigglytuff	
41	Zubat	22
42	Golbat	FRIEND
43	Oddish	21
44	Gloom	LEAF/SUN
45	Vileplume	
46	Paras	24
47	Parasect	
48	Venonat	31
49	Venomoth	
50	Diglett	26
51	Dugtrio	
52	Meowth	28
53	Persian	
54	Psyduck	33
55	Golduck	
56	Mankey	28
57	Primeape	
58	Growlithe	FIRE
59	Arcanine	
60	Poliwag	25
61	Poliwhirl	RCK/WTR
62	Poliwrath	
63	Abra	16
64	Kadabra	37
65	Alakazam	
66	Machop	28
67	Machoke	37
68	Machamp	
69	Bellsprout	21
70	Weepinbell	LEAF
71	Victreebel	
72	Tentacool	30
73	Tentacruel	
74	Geodude	25
75	Graveler	37
76	Golem	
77	Ponyta	40
78	Rapidash	
79	Slowpoke	37/WTR
80	Slowbro	
81	Magnemite	30
82	Magneton	40
83	Farfetch'd	
84	Doduo	31
85	Dodrio	
86	Seel	34
87	Dewgong	
88	Grimer	38
89	Muk	
90	Shellder	WATER
91	Cloyster	
92	Gastly	25
93	Haunter	37
94	Gengar	
95	Onix	MTL CT
96	Drowzee	26
97	Hypno	
98	Krabby	28
99	Kingler	
100	Voltorb	30
101	Electrode	
102	Exeggcute	LEAF
103	Exeggutor	
104	Cubone	28
105	Marowak	
106	Hitmonlee	
107	Hitmonchan	
108	Lickitung	33
109	Koffing	35
110	Weezing	
111	Rhyhorn	42
112	Rhydon	PROTCR
113	Chansey	FRIEND
114	Tangela	33
115	Kangaskhan	
116	Horsea	32
117	Seadra	DRG SCL
118	Goldeen	33
119	Seaking	
120	Staryu	WATER
121	Starmie	
122	Mr. Mime	
123	Scyther	MTL CT
124	Jynx	
125	Electabuzz	ELERZR
126	Magmar	MAGMZR
127	Pinsir	
128	Tauros	
129	Magikarp	20
130	Gyarados	
131	Lapras	
132	Ditto	
133	Eevee	VARIOUS
134	Vaporeon	
135	Jolteon	
136	Flareon	
137	Porygon	UPGDE
138	Omanyte	40
139	Omastar	
140	Kabuto	40
141	Kabutops	
142	Aerodactyl	
143	Snorlax	
144	Articuno	
145	Zapdos	
146	Moltres	
147	Dratini	30
148	Dragonair	55
149	Dragonite	
150	Mewtwo	
151	Mew	
152	Chikorita	16
153	Bayleef	32
154	Meganium	
155	Cyndaquil	14
156	Quilava	36
157	Typhlosion	
158	Totodile	18
159	Croconaw	30
160	Feraligatr	
161	Sentret	15
162	Furret	
163	Hoothoot	20
164	Noctowl	
165	Ledyba	18
166	Ledian	
167	Spinarak	22
168	Ariados	
169	Crobat	
170	Chinchou	27
171	Lanturn	
172	Pichu	FRIEND
173	Cleffa	FRIEND
174	Igglybuff	FRIEND
175	Togepi	FRIEND
176	Togetic	SHNY ST
177	Natu	25
178	Xatu	
179	Mareep	15
180	Flaaffy	30
181	Ampharos	
182	Bellossom	
183	Marill	18
184	Azumarill	
185	Sudowoodo	
186	Politoed	
187	Hoppip	18
188	Skiploom	27
189	Jumpluff	
190	Aipom	32
191	Sunkern	SUN
192	Sunflora	
193	Yanma	33
194	Wooper	20
195	Quagsire	
196	Espeon	
197	Umbreon	
198	Murkrow	DUSK
199	Slowking	
200	Misdreavus	DUSK
201	Unown	
202	Wobbuffet	
203	Girafarig	
204	Pineco	31
205	Forretress	
206	Dunsparce	
207	Gligar	RZ FNG
208	Steelix	
209	Snubbull	23
210	Granbull	
211	Qwilfish	
212	Scizor	
213	Shuckle	
214	Heracross	
215	Sneasel	RZ CLW
216	Teddiursa	30
217	Ursaring	
218	Slugma	38
219	Magcargo	
220	Swinub	33
221	Piloswine	45
222	Corsola	
223	Remoraid	25
224	Octillery	
225	Delibird	
226	Mantine	
227	Skarmory	
228	Houndour	24
229	Houndoom	
230	Kingdra	
231	Phanpy	25
232	Donphan	
233	Porygon2	DUB DSC
234	Stantler	
235	Smeargle	
236	Tyrogue	20
237	Hitmontop	
238	Smoochum	30
239	Elekid	30
240	Magby	30
241	Miltank	
242	Blissey	
243	Raikou	
244	Entei	
245	Suicune	
246	Larvitar	30
247	Pupitar	55
248	Tyranitar	
249	Lugia	
250	Ho-Oh	
251	Celebi	
252	Treecko	16
253	Grovyle	36
254	Sceptile	
255	Torchic	16
