# evolution type code	long names, one per evolution (PokemonData.EVO_LONGER_NAMES)
20 M/F	Level 20, F | Level 20, M
37/WTR	37 | King's Rock
DAWN	Dawn stone
DRG SCL	Dragon Scale
DST/DSS	DeepSeaTooth | DeepSeaScale
DUB DSC	Dubious Disc
DUSK	Dusk stone
ELERZR	Electirizer
FIRE	Fire stone
FRIEND	High friendship
KNG RCK	King's Rock
KRBLST	Level w/ Karrablast
LEAF	Leaf stone
LEAF/SUN	Leaf stone | Sun stone
MAGMZR	Magmarizer
MOON	Moon stone
MTL CT	Metal Coat
OVAL	Oval stone
PROTCR	Protector
RCK/WTR	Water stone | King's Rock
REA CLH	Reaper Cloth
RMRAID	Level w/ Remoraid
RZ CLW	Razor Claw
RZ FNG	Razor Fang
SHLMT	Level w/ Shelmet
SHNY ST	Shiny stone
SUN	Sun stone
THUNDR	Thunder stone
UPGDE	Up-Grade
VARIOUS	Leaf stone | Dawn stone | Thunder stone | Water stone | Fire stone | Sun stone | Moon stone
WATER	Water stone
