# location table code	order	area
454B5049	1	Route 29
454B5049	2	Route 46
454B5049	3	Cherrygrove City
454B5049	4	Route 30
454B5049	5	Route 31
454B5049	6	Route 32
454B5049	7	Ruins of Alph
454B5049	8	Sprout Tower 1F
454B5049	9	Sprout Tower 2F
454B5049	10	Dark Cave
454B5049	11	Bug Catching
45555043	1	Lake Verity
45555043	2	Route 201
45555043	3	Route 202
45555043	4	Route 203
45555043	5	Route 204
45555043	6	Twinleaf Town
45555043	7	Route 218
45555043	8	Route 219
4F425249	1	Route 1
4F425249	2	Route 2
4F425249	3	Dreamyard
4F425249	4	Route 3
4F425249	5	Wellspring Cave
4F425249	6	Pinwheel Exterior
4F425249	7	Pinwheel Interior
4F455249	1	Route 19
4F455249	2	Route 20
4F455249	3	Floccesy Ranch
4F455249	4	Virbank Complex
